method,rep,seed,N,steps,dt,T,cost_scale,cd_scale,mix_scale,shots,sample_elapsed_s_a,sample_elapsed_s_b,bestE_sample,q10,q50,q90,K,seed_bestE,mts_bestE,mts_elapsed_s,mts_outer_iters
DAQO,44,811982,8,10,0.05,0.5,0.05,0.0,1.0,3000,0.09999745599998278,0.5039179199993669,8.0,12.0,24.0,56.0,32,8,8,2.0002368069999648,1466
DAQO,33,811795,8,10,0.05,0.5,0.05,0.0,1.0,3000,0.1000141740005347,0.1104653149996011,8.0,12.0,24.0,56.0,32,8,8,2.0011141049999424,1464
DAQO,4,811302,8,10,0.05,0.5,0.05,0.0,1.0,3000,0.10016963499947451,0.10275241300041671,8.0,12.0,24.0,56.0,32,8,8,2.00067889499951,1453
DCQO,10,811404,8,10,0.05,0.5,0.05,0.1,1.0,1000,0.1123903830002746,0.2867183409998688,8.0,8.0,16.0,40.0,32,8,8,2.0006471340002463,1460
DCQO,4,811302,8,10,0.05,0.5,0.05,0.1,1.0,1000,0.11251078500026779,0.11814668800070649,8.0,12.0,20.0,44.0,32,8,8,2.0002896999994846,1466
DCQO,13,811455,8,10,0.05,0.5,0.05,0.1,1.0,1000,0.11275725799987413,0.1153223839992279,8.0,12.0,16.0,48.0,32,8,8,2.0013099999996484,1466
DAQO,4,1011302,10,10,0.05,0.5,0.05,0.0,1.0,3000,0.2537237870001263,0.3545380159994238,13.0,21.0,37.0,93.0,32,13,13,2.0009975420016417,980
DAQO,27,1011693,10,10,0.05,0.5,0.05,0.0,1.0,3000,0.25398752500041155,0.2528042539997841,13.0,21.0,37.0,93.0,32,13,13,2.0007299869994313,974
DAQO,12,1011438,10,10,0.05,0.5,0.05,0.0,1.0,3000,0.25406290400042053,0.25259450700104935,13.0,21.0,37.0,93.0,32,13,13,2.0002228140001534,978
DCQO,16,1011506,10,10,0.05,0.5,0.05,0.1,1.0,1000,0.2806472579995898,0.46081953099928796,13.0,21.0,29.0,109.0,32,13,13,2.001668944998528,968
DCQO,48,1012050,10,10,0.05,0.5,0.05,0.1,1.0,1000,0.28066317299999355,0.2866009089993895,13.0,21.0,29.0,109.0,32,13,13,2.0001219999994646,983
DCQO,30,1011744,10,10,0.05,0.5,0.05,0.1,1.0,1000,0.28126013800010696,0.2847189099993557,13.0,21.0,29.0,101.0,32,13,13,2.0007831869988877,979
DAQO,24,1211642,12,10,0.05,0.5,0.05,0.0,1.0,3000,0.5912441890004629,0.7219242379997013,10.0,34.0,62.0,146.0,32,10,10,2.0012847739999415,601
DAQO,42,1211948,12,10,0.05,0.5,0.05,0.0,1.0,3000,0.5922219130006852,0.5935041940010706,10.0,34.0,62.0,146.0,32,10,10,2.0002704259986785,596
DAQO,3,1211285,12,10,0.05,0.5,0.05,0.0,1.0,3000,0.5929699429998436,0.6045751140009088,10.0,34.0,62.0,146.0,32,10,10,2.0034932470007334,603
DCQO,26,1211676,12,10,0.05,0.5,0.05,0.1,1.0,1000,0.5959186219997719,0.7898946490004164,10.0,26.0,50.0,162.0,32,10,10,2.002227524999398,598
DCQO,15,1211489,12,10,0.05,0.5,0.05,0.1,1.0,1000,0.5959573090003687,0.6147376069984603,10.0,26.0,46.0,166.0,32,10,10,2.0025484830002824,603
DCQO,40,1211914,12,10,0.05,0.5,0.05,0.1,1.0,1000,0.5962739400001738,0.5979909649995534,10.0,26.0,50.0,158.0,32,10,10,2.0013844040004187,586
DAQO,4,1411302,14,10,0.05,0.5,0.05,0.0,1.0,3000,1.1950422820000313,1.2936057709994202,19.0,51.0,91.0,211.0,32,19,19,2.0022989909994067,509
DAQO,39,1411897,14,10,0.05,0.5,0.05,0.0,1.0,3000,1.1960038340002939,1.1993547349993605,19.0,51.0,91.0,203.0,32,19,19,2.000749030999941,499
DAQO,31,1411761,14,10,0.05,0.5,0.05,0.0,1.0,3000,1.196100440999544,1.1948737220009207,19.0,51.0,91.0,211.0,32,19,19,2.001015867001115,504
DCQO,31,1411761,14,10,0.05,0.5,0.05,0.1,1.0,1000,1.1190197579999221,1.3342235359996266,19.0,35.0,91.0,259.0,32,19,19,2.000722750000932,509
DCQO,21,1411591,14,10,0.05,0.5,0.05,0.1,1.0,1000,1.121266504000232,1.1255987289987388,19.0,35.0,99.0,275.0,32,19,19,2.002057136000076,504
DCQO,18,1411540,14,10,0.05,0.5,0.05,0.1,1.0,1000,1.1230070789997626,1.1192970920001244,19.0,35.0,91.0,259.0,32,19,19,2.0028692579999188,514
DAQO,16,1611506,16,10,0.05,0.5,0.05,0.0,1.0,3000,2.21218169399981,2.3071620379996602,24.0,68.0,128.0,276.0,32,24,24,2.003397054000743,342
DAQO,19,1611557,16,10,0.05,0.5,0.05,0.0,1.0,3000,2.2196773610012315,2.206714756999645,32.0,68.0,124.0,272.0,32,32,24,2.0037517470009334,346
DAQO,44,1611982,16,10,0.05,0.5,0.05,0.0,1.0,3000,2.2197800329995516,2.1981975479993707,24.0,72.0,124.0,264.0,32,24,24,2.006979562000197,347
DCQO,32,1611778,16,10,0.05,0.5,0.05,0.1,1.0,1000,1.9953314260001207,2.2253926409994165,24.0,48.0,140.0,408.0,32,24,24,2.001582889999554,343
DCQO,27,1611693,16,10,0.05,0.5,0.05,0.1,1.0,1000,1.9965247769996495,1.9801914990002842,24.0,48.0,136.0,428.0,32,24,24,2.0012951040007465,344
DCQO,39,1611897,16,10,0.05,0.5,0.05,0.1,1.0,1000,1.996826520000468,1.9891420739986643,24.0,52.0,144.0,420.0,32,24,24,2.004882102999545,339
DAQO,18,1811540,18,10,0.05,0.5,0.05,0.0,1.0,3000,3.889087763000134,4.040348750999328,33.0,89.0,169.0,353.0,32,33,25,2.000122798999655,279
DAQO,20,1811574,18,10,0.05,0.5,0.05,0.0,1.0,3000,3.893331499000851,3.8607931620008458,41.0,89.0,169.0,345.0,32,41,25,2.000723774001017,285
DAQO,25,1811659,18,10,0.05,0.5,0.05,0.0,1.0,3000,3.8957531940013723,3.852366441000413,33.0,89.0,169.0,345.0,32,33,25,2.0063260049992095,292
